Dimension,Num Points,Num Classes,Data file,Serial All Time (ms),Serial Initialize Time (ms),Serial Classify Time (ms),Serial Update Time (ms),Serial Last Classify Time (ms),MPI All Time (ms),MPI Initialize Time (ms),MPI Classify Time (ms),MPI Update Time (ms),MPI Last Classify Time (ms),CUDA All Time (ms),CUDA Initialize Time (ms),CUDA Classify Time (ms),CUDA Update Time (ms),CUDA Last Classify Time (ms),Serial output file,MPI output file,CUDA output file
3,10000,2,data/10000_3D.csv,9.8232,0.7225,6.9157,1.7172,0.4602,8.0447,1.2619,5.0464,1.3726,0.2778,385.3429,0.7336,27.3971,1.3829,1.9804,results/10000_3D_2C_serial.csv,results/10000_3D_2C_mpi.csv,results/10000_3D_2C_cuda.csv
3,100,2,data/100_3D.csv,6.1891,0.0212,4.7580,1.2826,0.0043,4.8490,0.0241,2.7637,1.9445,0.0043,695.5575,0.0228,182.6513,1.8433,0.1608,results/100_3D_2C_serial.csv,results/100_3D_2C_mpi.csv,results/100_3D_2C_cuda.csv
3,100,2,data/100_3D.csv,7.4676,0.0232,5.7024,1.5651,0.0043,4.4098,0.0224,2.6429,1.6456,0.0041,643.7563,0.0228,158.8250,1.8269,0.1608,results/100_3D_2C_serial.csv,results/100_3D_2C_mpi.csv,results/100_3D_2C_cuda.csv
3,100,2,data/100_3D.csv,6.3748,0.0221,4.8841,1.3236,0.0044,5.0609,0.0238,2.5365,2.3811,0.0038,609.2637,0.0228,155.3458,1.7151,0.1536,results/100_3D_2C_serial.csv,results/100_3D_2C_mpi.csv,results/100_3D_2C_cuda.csv
3,100,5,data/100_3D.csv,12.3977,0.0511,10.6644,1.4780,0.0091,8.2169,0.0889,5.7497,2.1815,0.0057,681.1038,0.0513,174.2695,2.3814,0.1731,results/100_3D_5C_serial.csv,results/100_3D_5C_mpi.csv,results/100_3D_5C_cuda.csv
3,100,5,data/100_3D.csv,11.2538,0.0517,9.6784,1.3478,0.0091,11.8527,0.0868,8.7399,2.8174,0.0072,676.1450,0.0526,174.5537,1.8328,0.1731,results/100_3D_5C_serial.csv,results/100_3D_5C_mpi.csv,results/100_3D_5C_cuda.csv
3,100,5,data/100_3D.csv,11.4796,0.0513,9.8973,1.3271,0.0091,8.6751,0.0534,6.1557,2.2919,0.0064,787.2852,0.1021,174.6253,2.1157,0.1741,results/100_3D_5C_serial.csv,results/100_3D_5C_mpi.csv,results/100_3D_5C_cuda.csv
3,100,10,data/100_3D.csv,18.9617,0.1896,17.1991,1.3572,0.0160,14.5366,0.1497,11.2731,2.9109,0.0157,691.6495,0.1285,204.7935,1.8420,0.2007,results/100_3D_10C_serial.csv,results/100_3D_10C_mpi.csv,results/100_3D_10C_cuda.csv
3,100,10,data/100_3D.csv,19.9472,0.1303,18.2372,1.3757,0.0163,12.0144,0.1323,9.4309,2.2416,0.0198,694.0002,0.2314,205.0944,2.0643,0.2058,results/100_3D_10C_serial.csv,results/100_3D_10C_mpi.csv,results/100_3D_10C_cuda.csv
3,100,10,data/100_3D.csv,20.1155,0.3225,18.0744,1.4897,0.0265,11.3232,0.1359,8.7311,2.2838,0.0172,716.1423,0.1343,205.2233,1.8429,0.2068,results/100_3D_10C_serial.csv,results/100_3D_10C_mpi.csv,results/100_3D_10C_cuda.csv
